employee_id,employee_name,department,team,total_communications,intra_dept_communications,cross_dept_communications,dept_diversity_contacts,avg_sentiment_score,collaboration_breadth,silo_propensity_score
25,Employee_25,Sales,SMB,57,42,15,7,1,0.2631578947368421,73.68421052631578
26,Employee_26,Sales,Enterprise,65,47,18,7,0,0.27692307692307694,72.3076923076923
27,Employee_27,Sales,SMB,67,51,16,7,0,0.23880597014925373,76.11940298507463
28,Employee_28,Sales,SMB,65,48,17,7,0,0.26153846153846155,73.84615384615385
29,Employee_29,Sales,Enterprise,50,34,16,7,0,0.32,68.0
30,Employee_30,Sales,SMB,53,35,18,7,1,0.33962264150943394,66.0377358490566
31,Employee_31,Sales,Partnerships,57,42,15,7,1,0.2631578947368421,73.68421052631578
32,Employee_32,Sales,Partnerships,61,48,13,5,-1,0.21311475409836064,78.68852459016394
33,Employee_33,Sales,Partnerships,57,39,18,7,0,0.3157894736842105,68.42105263157895
34,Employee_34,Sales,Partnerships,52,36,16,7,0,0.3076923076923077,69.23076923076923
35,Employee_35,Sales,Enterprise,59,44,15,7,1,0.2542372881355932,74.57627118644068
36,Employee_36,Sales,SMB,59,41,18,7,1,0.3050847457627119,69.49152542372882
37,Employee_37,Sales,Partnerships,70,49,21,7,0,0.3,70.0
38,Employee_38,Sales,Partnerships,58,41,17,7,1,0.29310344827586204,70.6896551724138
39,Employee_39,Sales,Enterprise,66,49,17,7,0,0.25757575757575757,74.24242424242425
40,Employee_40,Sales,Enterprise,55,38,17,7,0,0.3090909090909091,69.0909090909091
41,Employee_41,Sales,SMB,54,40,14,7,0,0.25925925925925924,74.07407407407408
42,Employee_42,Sales,Enterprise,51,36,15,6,0,0.29411764705882354,70.58823529411765
43,Employee_43,Sales,Partnerships,60,45,15,6,1,0.25,75.0
44,Employee_44,Sales,Enterprise,53,43,10,5,1,0.18867924528301888,81.13207547169812
45,Employee_45,Sales,SMB,51,36,15,6,1,0.29411764705882354,70.58823529411765
46,Employee_46,Sales,Enterprise,56,38,18,7,1,0.32142857142857145,67.85714285714286
47,Employee_47,Sales,Enterprise,64,43,21,7,0,0.328125,67.1875
48,Employee_48,Sales,Partnerships,63,48,15,7,1,0.23809523809523808,76.19047619047619
49,Employee_49,Sales,Partnerships,64,45,19,7,0,0.296875,70.3125
50,Employee_50,Sales,Partnerships,68,52,16,7,0,0.23529411764705882,76.47058823529412
51,Employee_51,Sales,SMB,46,38,8,5,0,0.17391304347826086,82.6086956521739
52,Employee_52,Sales,Enterprise,70,53,17,7,1,0.24285714285714285,75.71428571428571
53,Employee_53,Sales,Enterprise,60,46,14,6,1,0.23333333333333334,76.66666666666667
54,Employee_54,Sales,Enterprise,62,41,21,6,1,0.3387096774193548,66.12903225806451
55,Employee_55,Sales,Partnerships,49,40,9,6,0,0.1836734693877551,81.63265306122449
56,Employee_56,Marketing,Analytics,62,41,21,6,1,0.3387096774193548,66.12903225806451
57,Employee_57,Marketing,Analytics,67,51,16,6,1,0.23880597014925373,76.11940298507463
58,Employee_58,Marketing,Campaigns,63,47,16,7,1,0.25396825396825395,74.60317460317461
59,Employee_59,Marketing,Analytics,51,40,11,7,1,0.21568627450980393,78.43137254901961
60,Employee_60,Marketing,Analytics,64,49,15,6,1,0.234375,76.5625
61,Employee_61,Marketing,Analytics,59,41,18,7,1,0.3050847457627119,69.49152542372882
62,Employee_62,Marketing,Analytics,45,28,17,6,0,0.37777777777777777,62.22222222222222
63,Employee_63,Marketing,Analytics,64,47,17,7,1,0.265625,73.4375
64,Employee_64,Marketing,Analytics,61,48,13,7,1,0.21311475409836064,78.68852459016394
65,Employee_65,Marketing,Content,65,49,16,6,1,0.24615384615384617,75.38461538461539
66,Employee_66,Marketing,Campaigns,54,40,14,7,0,0.25925925925925924,74.07407407407408
67,Employee_67,Marketing,Campaigns,61,39,22,7,0,0.36065573770491804,63.934426229508205
68,Employee_68,Marketing,Analytics,48,33,15,5,1,0.3125,68.75
69,Employee_69,Marketing,Analytics,49,37,12,7,0,0.24489795918367346,75.51020408163265
70,Employee_70,Marketing,Analytics,48,34,14,5,1,0.2916666666666667,70.83333333333334
71,Employee_71,Marketing,Analytics,60,47,13,7,1,0.21666666666666667,78.33333333333333
72,Employee_72,Marketing,Analytics,57,40,17,7,0,0.2982456140350877,70.17543859649122
73,Employee_73,Marketing,Content,57,37,20,6,1,0.3508771929824561,64.91228070175438
74,Employee_74,Marketing,Content,57,40,17,6,0,0.2982456140350877,70.17543859649122
75,Employee_75,Marketing,Analytics,57,44,13,6,1,0.22807017543859648,77.19298245614034
76,Employee_76,Marketing,Campaigns,50,39,11,6,1,0.22,78.0
77,Employee_77,Marketing,Content,63,43,20,6,0,0.31746031746031744,68.25396825396825
78,Employee_78,Marketing,Campaigns,69,61,8,6,1,0.11594202898550725,88.40579710144928
79,Employee_79,Marketing,Content,46,34,12,6,1,0.2608695652173913,73.91304347826086
80,Employee_80,Marketing,Analytics,54,42,12,7,1,0.2222222222222222,77.77777777777779
81,Employee_81,Marketing,Content,64,47,17,7,1,0.265625,73.4375
82,Employee_82,Marketing,Content,49,39,10,7,1,0.20408163265306123,79.59183673469387
83,Employee_83,Marketing,Content,61,40,21,7,1,0.3442622950819672,65.57377049180327
84,Employee_84,Marketing,Analytics,54,44,10,7,0,0.18518518518518517,81.48148148148148
85,Employee_85,Finance,Planning,58,43,15,7,0,0.25862068965517243,74.13793103448276
86,Employee_86,Finance,Accounting,52,40,12,6,0,0.23076923076923078,76.92307692307693
87,Employee_87,Finance,Treasury,58,41,17,7,0,0.29310344827586204,70.6896551724138
88,Employee_88,Finance,Planning,74,58,16,7,0,0.21621621621621623,78.37837837837837
89,Employee_89,Finance,Planning,61,37,24,7,0,0.39344262295081966,60.65573770491803
90,Employee_90,Finance,Accounting,59,38,21,7,0,0.3559322033898305,64.40677966101694
91,Employee_91,Finance,Accounting,41,33,8,7,0,0.1951219512195122,80.48780487804879
92,Employee_92,Finance,Planning,63,45,18,7,0,0.2857142857142857,71.42857142857143
93,Employee_93,Finance,Treasury,52,30,22,7,0,0.4230769230769231,57.692307692307686
94,Employee_94,Finance,Treasury,47,33,14,7,0,0.2978723404255319,70.2127659574468
95,Employee_95,Finance,Accounting,57,40,17,7,1,0.2982456140350877,70.17543859649122
96,Employee_96,Finance,Treasury,60,41,19,7,0,0.31666666666666665,68.33333333333333
97,Employee_97,Finance,Accounting,63,48,15,7,1,0.23809523809523808,76.19047619047619
98,Employee_98,Finance,Accounting,62,41,21,7,1,0.3387096774193548,66.12903225806451
99,Employee_99,Finance,Accounting,56,43,13,6,1,0.23214285714285715,76.78571428571429
100,Employee_100,Finance,Planning,57,38,19,7,1,0.3333333333333333,66.66666666666666
101,Employee_101,Finance,Accounting,55,41,14,6,0,0.2545454545454545,74.54545454545455
102,Employee_102,Finance,Treasury,51,33,18,7,0,0.35294117647058826,64.70588235294117
103,Employee_103,Finance,Accounting,57,46,11,6,1,0.19298245614035087,80.7017543859649
104,Employee_104,Finance,Planning,59,45,14,6,0,0.23728813559322035,76.27118644067797
105,Employee_105,Finance,Accounting,67,50,17,6,1,0.2537313432835821,74.6268656716418
106,Employee_106,Finance,Treasury,74,61,13,6,1,0.17567567567567569,82.43243243243244
107,Employee_107,Finance,Planning,70,46,24,7,1,0.34285714285714286,65.71428571428571
108,Employee_108,Finance,Planning,51,41,10,6,1,0.19607843137254902,80.3921568627451
109,Employee_109,Finance,Treasury,61,48,13,6,0,0.21311475409836064,78.68852459016394
110,Employee_110,HR,Development,58,39,19,7,0,0.3275862068965517,67.24137931034483
111,Employee_111,HR,Recruiting,54,39,15,5,1,0.2777777777777778,72.22222222222221
112,Employee_112,HR,Development,69,46,23,7,0,0.3333333333333333,66.66666666666666
113,Employee_113,HR,Recruiting,59,41,18,7,0,0.3050847457627119,69.49152542372882
114,Employee_114,HR,Recruiting,64,47,17,7,1,0.265625,73.4375
115,Employee_115,HR,Development,50,34,16,7,0,0.32,68.0
116,Employee_116,HR,Recruiting,46,37,9,6,1,0.1956521739130435,80.43478260869566
117,Employee_117,HR,Recruiting,50,37,13,6,0,0.26,74.0
118,Employee_118,HR,Operations,56,37,19,7,1,0.3392857142857143,66.07142857142857
119,Employee_119,HR,Recruiting,65,44,21,7,1,0.3230769230769231,67.6923076923077
120,Employee_120,HR,Development,54,41,13,7,1,0.24074074074074073,75.92592592592592
121,Employee_121,HR,Recruiting,56,36,20,7,0,0.35714285714285715,64.28571428571429
122,Employee_122,HR,Recruiting,62,41,21,7,1,0.3387096774193548,66.12903225806451
123,Employee_123,HR,Recruiting,58,52,6,5,0,0.10344827586206896,89.65517241379311
124,Employee_124,HR,Operations,51,37,14,5,1,0.27450980392156865,72.54901960784314
125,Employee_125,HR,Recruiting,55,36,19,7,1,0.34545454545454546,65.45454545454545
126,Employee_126,HR,Recruiting,65,45,20,7,0,0.3076923076923077,69.23076923076923
127,Employee_127,HR,Operations,64,47,17,7,1,0.265625,73.4375
128,Employee_128,HR,Operations,57,33,24,7,0,0.42105263157894735,57.89473684210527
129,Employee_129,HR,Operations,56,29,27,7,1,0.48214285714285715,51.78571428571429
130,Employee_130,HR,Operations,57,42,15,7,0,0.2631578947368421,73.68421052631578
131,Employee_131,HR,Recruiting,58,40,18,7,1,0.3103448275862069,68.96551724137932
132,Employee_132,Operations,Procurement,41,31,10,6,1,0.24390243902439024,75.60975609756098
133,Employee_133,Operations,Supply Chain,50,31,19,7,0,0.38,62.0
134,Employee_134,Operations,Facilities,56,40,16,6,0,0.2857142857142857,71.42857142857143
135,Employee_135,Operations,Supply Chain,56,47,9,6,1,0.16071428571428573,83.92857142857143
136,Employee_136,Operations,Facilities,53,33,20,7,0,0.37735849056603776,62.264150943396224
137,Employee_137,Operations,Facilities,63,43,20,7,1,0.31746031746031744,68.25396825396825
138,Employee_138,Operations,Supply Chain,58,40,18,7,0,0.3103448275862069,68.96551724137932
139,Employee_139,Operations,Supply Chain,49,36,13,6,0,0.2653061224489796,73.46938775510205
140,Employee_140,Operations,Facilities,56,43,13,6,0,0.23214285714285715,76.78571428571429
141,Employee_141,Operations,Facilities,60,43,17,6,1,0.2833333333333333,71.66666666666667
142,Employee_142,Operations,Procurement,50,36,14,6,0,0.28,72.0
143,Employee_143,Operations,Facilities,69,50,19,6,1,0.2753623188405797,72.46376811594203
144,Employee_144,Operations,Facilities,52,36,16,6,1,0.3076923076923077,69.23076923076923
145,Employee_145,Operations,Facilities,58,38,20,7,0,0.3448275862068966,65.51724137931035
146,Employee_146,Operations,Procurement,53,41,12,5,1,0.22641509433962265,77.35849056603774
147,Employee_147,Operations,Procurement,60,45,15,7,0,0.25,75.0
148,Employee_148,Operations,Facilities,60,41,19,7,0,0.31666666666666665,68.33333333333333
149,Employee_149,Operations,Supply Chain,49,32,17,7,1,0.3469387755102041,65.3061224489796
150,Employee_150,Operations,Procurement,45,31,14,7,1,0.3111111111111111,68.88888888888889
151,Employee_151,Operations,Facilities,57,38,19,7,0,0.3333333333333333,66.66666666666666
152,Employee_152,Operations,Procurement,56,40,16,5,1,0.2857142857142857,71.42857142857143
