employee_id,name,department,team,seniority_level
120,Employee_120,HR,Development,Junior
121,Employee_121,HR,Recruiting,Junior
122,Employee_122,HR,Recruiting,Senior
123,Employee_123,HR,Recruiting,Manager
124,Employee_124,HR,Operations,Manager
125,Employee_125,HR,Recruiting,Manager
126,Employee_126,HR,Recruiting,Senior
127,Employee_127,HR,Operations,Junior
128,Employee_128,HR,Operations,Lead
129,Employee_129,HR,Operations,Lead
130,Employee_130,HR,Operations,Manager
131,Employee_131,HR,Recruiting,Senior
132,Employee_132,Operations,Procurement,Senior
133,Employee_133,Operations,Supply Chain,Junior
134,Employee_134,Operations,Facilities,Lead
135,Employee_135,Operations,Supply Chain,Junior
136,Employee_136,Operations,Facilities,Manager
137,Employee_137,Operations,Facilities,Senior
138,Employee_138,Operations,Supply Chain,Junior
139,Employee_139,Operations,Supply Chain,Junior
140,Employee_140,Operations,Facilities,Junior
141,Employee_141,Operations,Facilities,Senior
142,Employee_142,Operations,Procurement,Junior
143,Employee_143,Operations,Facilities,Senior
144,Employee_144,Operations,Facilities,Junior
145,Employee_145,Operations,Facilities,Junior
146,Employee_146,Operations,Procurement,Lead
147,Employee_147,Operations,Procurement,Senior
148,Employee_148,Operations,Facilities,Lead
149,Employee_149,Operations,Supply Chain,Lead
150,Employee_150,Operations,Procurement,Senior
151,Employee_151,Operations,Facilities,Lead
152,Employee_152,Operations,Procurement,Lead
